CAMIS,yelp_cat,price,rating,review_count,longitude,latitude,opens,closes,is_overnight
40369521,American (Traditional),3.0,4.0,310.0,40.731917151719,-73.994446542315,1200.0,2600.0,True
40369580,Spanish,2.0,4.0,170.0,40.74758,-73.97362,1200.0,2230.0,False
40369608,American (New),4.0,4.0,1109.0,40.70318,-73.9946499,830.0,2300.0,False
40369619,Other,,,,,,,,False
40369641,Seafood,2.0,4.0,483.0,40.8377099599469,-73.7826705251312,1100.0,2300.0,False
40369667,Burgers,1.0,2.0,40.0,40.66324,-73.93212,500.0,2900.0,True
40369669,Burgers,1.0,4.0,14.0,40.86603,-73.8621299,500.0,2900.0,True
40369675,Burgers,1.0,3.5,98.0,40.74303,-73.92124,500.0,2900.0,True
40369716,Italian,2.0,4.0,185.0,40.6841934772249,-74.0018677711487,1100.0,2200.0,False
40369724,Coffee & Tea,1.0,2.0,81.0,40.719994,-73.8451,0.0,2400.0,False
40369759,Coffee & Tea,2.0,2.5,84.0,40.776184,-73.962417,,,False
40369775,Breakfast & Brunch,2.0,3.5,610.0,40.7229607269325,-74.0032050567684,800.0,2430.0,True
40369782,Coffee & Tea,1.0,2.5,7.0,40.65613836369,-73.9305764271512,0.0,2400.0,False
40369810,American (Traditional),2.0,3.5,589.0,40.73647,-73.986698,1100.0,2800.0,True
40369849,Pizza,2.0,3.5,208.0,40.7484236416535,-73.7565548389008,1000.0,2400.0,False
40369869,Pubs,2.0,4.0,124.0,40.707681,-74.00765,1100.0,2600.0,True
40369878,Italian,2.0,4.0,191.0,40.72859,-74.002,1200.0,2230.0,False
40369940,American (Traditional),2.0,3.5,162.0,40.77984,-73.95986,600.0,2100.0,False
40369954,Italian,3.0,4.5,134.0,40.7315434396639,-74.0006124973297,,,False
40369958,Steakhouses,4.0,3.5,911.0,40.75303,-73.972329,1200.0,2330.0,False
40369983,Dive Bars,2.0,4.5,13.0,40.71515,-73.80795,1130.0,2800.0,True
40370015,Italian,2.0,4.0,332.0,40.716579,-73.951174,1200.0,2300.0,False
40370150,Dive Bars,1.0,4.0,6.0,40.8978313,-73.8670453,,,False
